qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
4850,855,13,6,6,4,93.235,91.909,90.804
4851,855,4,6,5,5,92.817,91.612,90.886
4852,855,17,9,2,6,93.135,91.576,91.156
4853,855,155,15,16,10,92.626,92.38,0.0
4854,855,30,131,7,7,93.748,92.116,0.0
4855,855,811,4,9,8,93.359,92.297,0.0
4856,855,808,4,10,9,92.877,92.245,0.0
4857,855,16,10,14,11,92.761,92.463,0.0
4858,855,814,10,15,12,93.499,92.746,0.0
4859,855,22,3,11,13,93.921,93.079,0.0
4860,855,813,3,12,14,93.781,93.224,0.0
4861,855,67,5,18,15,93.064,93.227,0.0
4862,855,153,5,19,16,95.111,93.427,0.0
4863,855,815,15,17,17,94.704,0.0,0.0
4864,855,5,205,20,18,95.454,0.0,0.0
4865,855,15,205,21,19,95.514,0.0,0.0
4866,855,816,166,25,20,96.439,0.0,0.0
4867,855,10,166,24,21,96.507,0.0,0.0
4868,855,817,164,22,22,97.846,0.0,0.0
4869,855,3,131,8,23,0.0,0.0,0.0
4870,855,24,164,23,24,0.0,0.0,0.0
4871,856,1,1,3,1,97.525,96.526,95.82
4872,856,20,9,1,2,99.093,97.285,96.042
4873,856,18,1,4,3,97.929,97.302,96.126
4874,856,17,9,2,4,99.071,97.292,96.468
4875,856,13,6,6,5,98.67,97.313,96.831
4876,856,4,6,5,6,98.393,97.352,96.98
4877,856,3,131,8,7,98.426,97.892,97.754
4878,856,808,4,10,8,98.378,98.186,98.124
4879,856,814,10,15,9,98.549,98.254,0.0
4880,856,16,10,14,10,98.789,98.219,0.0
4881,856,153,5,19,11,99.392,98.315,0.0
4882,856,30,131,7,12,98.502,98.354,0.0
4883,856,67,5,18,13,99.352,98.508,0.0
4884,856,155,15,16,14,99.464,98.775,0.0
4885,856,811,4,9,15,99.316,98.791,0.0
4886,856,813,3,12,16,99.436,99.189,0.0
4887,856,815,15,17,17,99.097,99.443,0.0
4888,856,22,3,11,18,99.538,0.0,0.0
4889,856,5,205,20,19,100.522,0.0,0.0
4890,856,15,205,21,20,101.101,0.0,0.0
4891,856,10,166,24,21,102.091,0.0,0.0
4892,856,816,166,25,22,103.483,0.0,0.0
4893,856,24,164,23,23,103.758,0.0,0.0
4894,856,817,164,22,24,0.0,0.0,0.0
4895,857,20,9,1,1,86.218,84.657,84.178
4896,857,1,1,3,2,86.563,85.019,84.474
4897,857,17,9,2,3,86.473,85.282,84.508
4898,857,4,6,5,4,86.774,85.158,84.519
4899,857,18,1,4,5,86.225,85.299,84.95
4900,857,13,6,6,6,87.012,85.522,85.122
4901,857,3,131,8,7,86.364,85.555,85.451
4902,857,16,10,14,8,86.271,86.14,0.0
4903,857,67,5,18,9,86.608,86.161,0.0
4904,857,153,5,19,10,86.557,86.319,0.0
4905,857,808,4,10,11,86.189,86.319,0.0
4906,857,30,131,7,12,86.79,86.337,0.0
4907,857,814,10,15,13,86.864,86.503,0.0
4908,857,813,3,12,14,86.829,86.537,0.0
4909,857,811,4,9,15,86.766,86.651,0.0
4910,857,22,3,11,16,87.479,87.247,0.0
4911,857,815,15,17,17,87.249,87.562,0.0
4912,857,155,15,16,18,87.876,0.0,0.0
4913,857,5,205,20,19,88.565,0.0,0.0
4914,857,15,205,21,20,88.752,0.0,0.0
4915,857,817,164,23,21,90.216,0.0,0.0
4916,857,39,164,22,22,90.238,0.0,0.0
4917,857,816,166,25,23,90.866,0.0,0.0
4918,857,10,166,24,24,94.046,0.0,0.0
4919,858,20,9,1,1,100.478,98.516,98.481
4920,858,1,1,3,2,99.782,98.434,98.622
4921,858,18,1,4,3,100.227,99.097,98.631
4922,858,17,9,2,4,100.167,98.821,98.858
