q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
95.214,95.843,97.631,0.0108,51.0,6,1,2,2,2,8.0,53,5220006,13,0.2868
96.001,96.306,98.117,0.0192,20.0,10,0,3,8,8,1.0,53,5239542,3,0.2868
95.543,96.175,98.445,0.0026,4.0,17,0,4,18,18,0.0,52,0,2,0.1509
95.485,95.898,98.767,0.0201,9.0,14,0,5,14,14,0.0,53,5276129,10,0.2868
95.536,96.676,98.894,0.0247,77.0,2,5,6,6,6,3.0,53,5236310,4,0.2868
95.906,96.008,99.152,0.0174,26.0,8,0,7,13,13,0.0,53,5273448,15,0.2868
96.297,96.518,99.751,0.0377,28.0,7,0,8,4,4,5.0,53,5231397,9,0.2868
95.737,96.525,99.787,0.009,15.0,11,0,9,11,11,0.0,53,5266382,8,0.2868
95.709,96.626,99.906,0.0134,53.0,5,0,10,5,5,4.0,53,5235242,6,0.2868
95.553,96.697,0.0,0.0094,64.0,3,1,11,3,3,6.0,53,5227965,12,0.2868
96.28,96.698,0.0,0.0144,0.0,19,0,12,0,20,0.0,11,0,20,0.0397
96.485,97.284,0.0,0.0151,6.0,16,0,13,16,16,0.0,52,0,17,0.1509
95.965,97.522,0.0,0.031,57.0,4,2,14,9,9,0.0,53,5246962,1,0.2868
95.394,99.265,0.0,0.0346,78.0,1,4,15,7,7,2.0,53,5237406,5,0.2868
96.51,0.0,0.0,0.0207,11.0,13,0,16,17,17,0.0,52,0,19,0.1509
96.63,0.0,0.0,0.0025,13.0,12,0,17,10,10,0.0,53,5261939,16,0.2868
96.653,0.0,0.0,0.0034,8.0,15,0,18,12,12,0.0,53,5269509,11,0.2868
97.006,0.0,0.0,0.0255,3.0,18,0,19,15,15,0.0,53,5280864,7,0.2868
97.417,0.0,0.0,0.0123,0.0,20,0,20,19,19,0.0,51,0,18,0.0603
104.519,104.014,104.801,0.0247,77.0,2,5,1,13,13,0.0,61,7071474,2,0.2868
104.501,104.932,105.465,0.0346,84.0,1,4,2,3,3,6.0,61,7042221,4,0.2868
104.282,104.232,105.617,0.031,57.0,4,2,3,15,15,0.0,57,0,1,0.0397
104.74,104.519,105.779,0.0094,64.0,3,1,4,11,11,0.0,61,7064279,6,0.2868
104.311,104.207,105.873,0.0108,51.0,6,1,5,10,10,0.0,61,7063206,12,0.2868
105.548,104.52,105.964,0.0134,56.0,5,0,9,6,6,3.0,61,7047405,11,0.2868
105.042,104.261,106.244,0.0288,27.0,8,1,6,5,5,4.0,61,7046572,9,0.2868
105.184,104.441,106.328,0.009,20.0,10,0,7,4,4,5.0,61,7044459,8,0.2868
105.103,104.429,106.611,0.0201,17.0,12,0,8,2,2,8.0,61,7039261,5,0.2868
105.127,104.826,107.547,0.0034,9.0,15,0,10,8,8,1.0,61,7054793,10,0.2868
105.642,105.038,0.0,0.0174,26.0,9,0,11,0,16,0.0,50,0,7,0.0052
105.66,105.133,0.0,0.0255,3.0,18,0,12,9,9,0.0,61,7056189,15,0.2868
105.493,105.212,0.0,0.0192,20.0,11,0,13,0,18,0.0,29,0,17,0.012
106.028,105.298,0.0,0.0151,8.0,16,0,14,7,7,2.0,61,7052691,13,0.2868
104.971,0.0,0.0,0.0377,38.0,7,1,15,1,1,10.0,61,7036304,3,0.2868
106.037,0.0,0.0,0.0025,13.0,13,0,16,0,20,0.0,13,0,20,0.0397
106.389,0.0,0.0,0.0026,4.0,17,0,17,12,12,0.0,61,7065736,14,0.2868
106.583,0.0,0.0,0.0207,11.0,14,0,18,0,19,0.0,14,0,19,0.0011
107.94,0.0,0.0,0.0123,0.0,20,0,19,0,17,0.0,49,0,18,0.0397
0.0,0.0,0.0,0.0144,0.0,19,0,20,14,14,0.0,61,7079875,16,0.2868
78.071,77.462,78.404,0.0346,84.0,1,4,1,12,12,0.0,67,5500792,11,0.2868
